date,team,o:team,site,field goals attempted,field goals made,field goal %,free throws attempted,free throws made,free throw %,three pointers attempted,three pointers made,three point %,assists,blocks,rebounds,steals,turnovers,line,margin,ats outcome,total,ou margin,ou outcome,streak
20191028,Magic,Raptors,away,92.5,36.0,39.18839558374443,22.5,17.5,75.10121457489879,30.5,7.0,23.064516129032256,19.5,5.5,46.0,10.0,11.5,5.0,-9,0,209.0,-10.0,U,-1
20191028,Warriors,Pelicans,away,95.5,34.5,36.001317523056656,30.5,28.0,91.88172043010752,37.5,10.0,25.432900432900432,22.0,1.5,41.0,9.5,13.5,3.5,11,1,237.0,20.0,O,-2
20191028,Rockets,Thunder,home,92.0,38.0,41.205673758865245,34.5,28.0,82.17948717948718,46.5,14.5,31.111111111111107,26.0,5.0,51.0,6.5,16.5,-10.0,4,1,227.5,0.5,O,1
20191028,Pelicans,Warriors,home,100.0,44.666666666666664,44.69174336401227,17.0,13.666666666666666,79.8611111111111,45.333333333333336,17.333333333333332,38.26919602529359,29.0,4.666666666666667,47.666666666666664,6.333333333333333,16.666666666666668,-3.5,-11,0,237.0,20.0,O,-3
20191028,Bulls,Knicks,away,98.33333333333333,39.333333333333336,39.85810885711118,23.666666666666668,17.666666666666668,74.93939393939394,35.666666666666664,10.0,28.09523809523809,20.333333333333332,4.333333333333333,46.333333333333336,11.333333333333334,12.666666666666666,-1.0,-7,0,222.0,-19.0,U,-1
20191028,Trailblazers,Spurs,away,86.33333333333333,42.333333333333336,49.0736984448952,23.666666666666668,20.666666666666668,87.42778960170263,26.666666666666668,9.0,34.19191919191919,16.333333333333332,4.333333333333333,45.333333333333336,7.666666666666667,17.333333333333332,4.5,-3,0,222.5,0.5,O,2
20191028,Bucks,Cavaliers,home,96.5,43.5,45.040833870621114,26.5,18.0,63.571428571428584,50.0,16.5,33.13204508856683,26.5,7.0,50.0,7.5,14.5,-15.5,17,1,224.0,17.0,O,-1
20191028,Knicks,Bulls,home,85.0,37.666666666666664,44.15736362840382,26.666666666666668,18.333333333333332,68.61188920012448,27.333333333333332,11.333333333333334,42.41975308641975,18.666666666666668,3.0,44.333333333333336,12.333333333333334,21.666666666666668,1.0,7,1,222.0,-19.0,U,-3
20191028,Hawks,Seventysixers,home,85.0,43.5,51.17663344407531,18.0,13.0,69.52380952380952,30.5,10.0,32.74193548387097,24.5,5.5,47.0,7.0,15.5,4.5,-2,0,221.0,-13.0,U,2
20191028,Kings,Nuggets,home,85.0,33.666666666666664,39.548744146445294,23.333333333333332,18.0,77.64091391542372,30.666666666666668,10.666666666666666,33.98212536143571,16.666666666666668,3.3333333333333335,40.333333333333336,6.666666666666667,20.0,6.0,-7,0,217.5,-22.5,U,-3
20191028,Pistons,Pacers,home,79.66666666666667,39.0,49.22931385779683,30.333333333333332,22.333333333333332,76.01010101010101,26.666666666666668,9.666666666666666,38.32187450608503,22.0,6.0,39.666666666666664,7.333333333333333,18.0,1.0,2,1,212.5,-22.5,U,-2
